Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,6,5,ANTIOQUIA,5266,ENVIGADO,ESTACION DE SERVICIOS PREMIUM LA SEBASTIANA,TEXACO,CARRERA 27 No. 36 SUR-199,GASOLINA CORRIENTE OXIGENADA,9710.0,A,CARRERA 27 No. 36 SUR-199,"CARRERA 27 No. 36 SUR-199, Envigado, Colombia","(6.16364, -75.56929)",6.16364,-75.56929
2022,6,5,ANTIOQUIA,5266,ENVIGADO,ESTACION DE SERVICIOS PREMIUM LA SEBASTIANA,TEXACO,CARRERA 27 No. 36 SUR-199,BIODIESEL EXTRA,10510.0,A,CARRERA 27 No. 36 SUR-199,"CARRERA 27 No. 36 SUR-199, Envigado, Colombia","(6.16364, -75.56929)",6.16364,-75.56929
2022,6,5,ANTIOQUIA,5266,ENVIGADO,ESTACION DE SERVICIOS PREMIUM LA SEBASTIANA,TEXACO,CARRERA 27 No. 36 SUR-199,GASOLINA EXTRA OXIGENADA,18990.0,A,CARRERA 27 No. 36 SUR-199,"CARRERA 27 No. 36 SUR-199, Envigado, Colombia","(6.16364, -75.56929)",6.16364,-75.56929
2022,6,5,ANTIOQUIA,5266,ENVIGADO,ESTACION DE SERVICIO TEXACO ESTRELLA DE ORIENTE,TEXACO,Km 14 Vte Las Palmas,BIODIESEL EXTRA,9867.0,A,Km 14 Vte Las Palmas,"Km 14 Vte Las Palmas, Envigado, Colombia","(6.16623, -75.54754)",6.16623,-75.54754
2022,6,5,ANTIOQUIA,5266,ENVIGADO,ESTACION DE SERVICIO TEXACO ESTRELLA DE ORIENTE,TEXACO,Km 14 Vte Las Palmas,GASOLINA CORRIENTE OXIGENADA,9590.0,A,Km 14 Vte Las Palmas,"Km 14 Vte Las Palmas, Envigado, Colombia","(6.16623, -75.54754)",6.16623,-75.54754
2022,6,5,ANTIOQUIA,5266,ENVIGADO,ESTACION DE SERVICIO TEXACO ESTRELLA DE ORIENTE,TEXACO,Km 14 Vte Las Palmas,GASOLINA EXTRA OXIGENADA,18223.0,A,Km 14 Vte Las Palmas,"Km 14 Vte Las Palmas, Envigado, Colombia","(6.16623, -75.54754)",6.16623,-75.54754
2022,6,5,ANTIOQUIA,5266,ENVIGADO,TERPEL PALMITAS,TERPEL,CARRERA 6 No. 23 A SUR 08,GASOLINA CORRIENTE OXIGENADA,9410.0,A,CARRERA 6 No. 23 A SUR 08,"CARRERA 6 No. 23 A SUR 08, Envigado, Colombia","(6.18238, -75.58021)",6.18238,-75.58021
2022,6,5,ANTIOQUIA,5266,ENVIGADO,TERPEL PALMITAS,TERPEL,CARRERA 6 No. 23 A SUR 08,BIODIESEL EXTRA,9680.0,A,CARRERA 6 No. 23 A SUR 08,"CARRERA 6 No. 23 A SUR 08, Envigado, Colombia","(6.18238, -75.58021)",6.18238,-75.58021
2022,6,5,ANTIOQUIA,5266,ENVIGADO,TERPEL PALMITAS,TERPEL,CARRERA 6 No. 23 A SUR 08,GASOLINA EXTRA OXIGENADA,17790.0,A,CARRERA 6 No. 23 A SUR 08,"CARRERA 6 No. 23 A SUR 08, Envigado, Colombia","(6.18238, -75.58021)",6.18238,-75.58021
2022,6,5,ANTIOQUIA,5266,ENVIGADO,ZEUSS LAS VEGAS,ZEUSS,CARRERA 48 No. 25AA SUR-13,BIODIESEL EXTRA,10530.0,A,CARRERA 48 No. 25AA SUR-13,"CARRERA 48 No. 25AA SUR-13, Envigado, Colombia","(6.18304, -75.58583)",6.18304,-75.58583
